srl_key,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
1,Cooking Essentials,Everest Saffron Kesar,120,0,0,120,1,TRUE,0
2,Munchies,Everest Saffron Kesar,120,0,0,120,1,TRUE,0
3,Personal Care,Maybelline New York Colossal Kajal Black,149,0,2,149,0,FALSE,0
4,Personal Care,Maybelline New York Colossal Kajal Super Black,300,8,3,275,0,FALSE,0
5,Paan Corner,Maybelline New York Colossal Kajal Black,149,0,2,149,0,FALSE,0
6,Paan Corner,Maybelline New York Colossal Kajal Super Black,300,8,3,275,0,FALSE,0
7,Paan Corner,Gillette Mach 3 Turbo Razor,349,6,5,325,58,FALSE,1
8,Paan Corner,Colgate Kids 0-2 Extra Soft Tooth Brush,30,16,6,25,58,FALSE,1
9,Paan Corner,Gellette Presto Ready Shaver,20,0,1,20,58,FALSE,1
10,Paan Corner,Colgate Kids 2+ Years Extra Soft Toothbrush,20,0,3,20,58,FALSE,1
11,Paan Corner,Bombay Shaving Company Defender Razor,345,0,6,345,58,FALSE,1
12,Paan Corner,Gillette Venus Close & Clean Razor ,249,7,0,230,58,TRUE,1
13,Home & Cleaning,Harpic Disinfectant Bathroom Cleaner Liquid Lemon,189,5,6,179,1000,FALSE,1
14,Home & Cleaning,Gala Scrubber Cleaner Home Everyday Scrub,35,2,6,34,58,FALSE,1
15,Home & Cleaning,Om Bhakti - Pancha Deepa Oil ,199,10,6,179,1000,FALSE,1
16,Home & Cleaning,Surf Excel Matic Top Load Detergent Powder,200,6,1,188,1000,FALSE,1
17,Home & Cleaning,Oxi Green Phenyl - Pine ,82,9,6,74,1000,FALSE,1
18,Home & Cleaning,Surf Excel Easy Wash Detergent Liquid,170,0,6,169,1000,FALSE,1
19,Home & Cleaning,Uno Playing Card Game,149,9,2,135,58,FALSE,1
20,Home & Cleaning,Chakaachak Mini Cloth Brush,40,2,1,39,58,FALSE,1
21,Home & Cleaning,Surf Excel Matic Front Load Detergent Liquid,225,1,6,221,1000,FALSE,1
22,Home & Cleaning,Ariel Matic Top Load Detergent Washing Powder,225,0,6,225,1000,FALSE,1
23,Home & Cleaning,Gala Cloth Poccha/Mop,125,9,6,113,58,FALSE,1
24,Home & Cleaning,Chakaachak Floor Cleaning Pocha,50,2,6,49,58,FALSE,1
25,Home & Cleaning,Oxi Green Floor Cleaner - Floral,179,10,6,161,1000,FALSE,1
26,Home & Cleaning,Ariel Complete Detergent Washing Powder 1 kg + 500 g Free,280,6,6,263,1500,FALSE,1
27,Home & Cleaning,Godrej Ezee Liquid Detergent,175,0,6,175,1000,FALSE,1
28,Home & Cleaning,Chakaachak Mega Star Toilet Brush,110,2,4,107,58,FALSE,1
29,Home & Cleaning,Oxi Green Phenyl Concentrate,200,10,6,180,1000,FALSE,1
30,Home & Cleaning,Chakaachak Deluxe Dustpan Grey,68,2,3,66,58,FALSE,1
31,Home & Cleaning,ScotchBrite Premium Kitchen Towels,150,18,3,123,174,FALSE,1
32,Home & Cleaning,Chakaachak Dustpan Grey,70,2,5,68,58,FALSE,1
33,Home & Cleaning,Gala Microfiber Magic Cloth 2-In-1,175,9,6,158,58,FALSE,1
34,Home & Cleaning,Scotch Brite Power Scrub Pad,50,2,6,49,58,FALSE,1
35,Home & Cleaning,Origami Good Karma Toilet Roll,275,14,6,234,232,FALSE,1
36,Home & Cleaning,Origami So Soft Tissue Roll Single - 340 Pulls 3 Ply,80,0,1,80,58,FALSE,1
37,Home & Cleaning,Gala Double Hockey Toilet Brush,150,10,6,135,58,FALSE,1
38,Home & Cleaning,Eveready Base B22 9-Watt LED Bulb,150,0,2,150,58,FALSE,1
39,Home & Cleaning,Domex Disinfectant Floor Cleaner,180,5,6,170,1000,FALSE,1
40,Home & Cleaning,Scotch Brite Tough Scrubber Brush,150,6,6,140,58,FALSE,1
41,Home & Cleaning,Lizol Double Concentrate Disinfectant Floor Cleaner Citrus,650,8,6,598,1900,FALSE,1
42,Home & Cleaning,Gala EzeeSqueegee Wiper,150,10,6,135,58,FALSE,1
43,Home & Cleaning,Philips Stellar Bright 16W Light Bulb,390,16,6,324,58,FALSE,1
44,Home & Cleaning,Ariel Matic Liquid Detergent Front Load,250,0,6,250,1000,FALSE,1
45,Home & Cleaning,Scotch Brite Kitchen Sink Brush,135,9,5,122,58,FALSE,1
46,Home & Cleaning,Scotch Magic Tape,115,14,6,98,58,FALSE,1
47,Home & Cleaning,Origami Kitchen Towels 4 in 1 60 Pulls 2 Ply,265,0,6,265,58,FALSE,1
48,Home & Cleaning,Ariel Matic Liquid Detergent Front Load,225,0,6,225,1000,FALSE,1
49,Home & Cleaning,Chakaachak Super Strong Scrub,29,3,5,28,58,FALSE,1
50,Home & Cleaning,Oxi Green Floor Cleaner - Citrus ,179,10,6,161,1000,FALSE,1
51,Home & Cleaning,Origami Luxuria Kitchen Towel 300 Pulls Single,320,0,2,320,58,FALSE,1
52,Home & Cleaning,Philips EyePro 10.5W Light Bulb,220,10,6,198,58,FALSE,1
53,Home & Cleaning,Origami Good Karma Paper Serviettes - 100 napkins (1 ply),78,10,6,70,58,FALSE,1
54,Home & Cleaning,Chakaachak Floor Pocha Large,50,0,1,50,58,FALSE,1
55,Home & Cleaning,Ariel Matic Front Load Liquid Detergent,220,0,4,220,1000,FALSE,1
56,Home & Cleaning,Chakaachak Dust Proof Broom,180,2,6,175,58,FALSE,1
57,Home & Cleaning,Whiskas Adult +1 year Salmon in Gravy,250,10,3,225,85,FALSE,1
58,Home & Cleaning,Gala Microfiber Multipurpose Cloth,140,7,6,129,58,FALSE,1
59,Home & Cleaning,Ariel Matic Front Load Detergent Powder,260,0,6,260,1000,FALSE,1
60,Home & Cleaning,Ariel Matic Liquid Detergent Front Load,250,0,4,250,1000,FALSE,1
61,Home & Cleaning,Rin Detergent Powder,86,2,0,84,1000,TRUE,1
62,Home & Cleaning,Surf Excel Easy Wash Detergent Powder,136,3,0,131,1000,TRUE,1
63,Home & Cleaning,Chakaachak Super Steel Scrubber,12,8,0,11,58,TRUE,1
64,Home & Cleaning,Gala No Dust Broom,190,7,0,175,58,TRUE,1
65,Home & Cleaning,Chakaachak Eazo Grass Broom New ,105,2,0,102,58,TRUE,1
66,Home & Cleaning,Surf Excel Quick Wash,208,6,0,195,1000,TRUE,1
67,Home & Cleaning,Scotch BOPP Packaging Tape,80,15,0,68,58,TRUE,1
68,Health & Hygiene,Kapiva Thar Aloe Vera Juice,299,15,6,254,1000,FALSE,1
69,Health & Hygiene,Kapiva Wild Amla Juice,249,14,6,212,1000,FALSE,1
70,Health & Hygiene,Dabur Chyawanprash,349,3,6,338,950,FALSE,1
71,Health & Hygiene,Kapiva Wild Tulsi Giloy Juice |,400,15,1,340,1000,FALSE,1
72,Health & Hygiene,Dabur Amla Juice,235,15,6,199,1000,FALSE,1
